,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
79,9:30p,Boston Celtics,105,Houston Rockets,116,Box Score,,"18,055",
80,7:00p,Atlanta Hawks,105,Cleveland Cavaliers,127,Box Score,,"16,200",
81,7:00p,Detroit Pistons,112,Orlando Magic,116,Box Score,OT,"16,607",
82,7:30p,Toronto Raptors,91,Brooklyn Nets,101,Box Score,,"15,823",
83,7:30p,Milwaukee Bucks,111,Indiana Pacers,118,Box Score,,"17,018",
84,7:30p,Washington Wizards,114,New York Knicks,96,Box Score,,"18,835",
85,8:00p,Portland Trail Blazers,104,Memphis Grizzlies,111,Box Score,,"16,889",
86,8:00p,Charlotte Hornets,115,Minnesota Timberwolves,108,Box Score,,"18,978",
87,8:30p,Sacramento Kings,111,Dallas Mavericks,130,Box Score,,"19,842",
88,9:00p,Golden State Warriors,106,Phoenix Suns,112,Box Score,,"15,216",
89,9:00p,Miami Heat,101,Utah Jazz,116,Box Score,,"18,306",
90,10:00p,Los Angeles Lakers,120,Denver Nuggets,116,Box Score,OT,"19,860",
91,8:00p,Los Angeles Clippers,133,Boston Celtics,141,Box Score,2OT,"19,156",
92,8:00p,Oklahoma City Thunder,123,New Orleans Pelicans,118,Box Score,,"17,865",
93,7:00p,Milwaukee Bucks,126,Detroit Pistons,106,Box Score,,"16,097",
94,7:30p,Miami Heat,124,Atlanta Hawks,129,Box Score,,"17,356",
95,8:00p,Charlotte Hornets,103,Chicago Bulls,93,Box Score,,"17,463",
96,8:00p,Brooklyn Nets,104,Philadelphia 76ers,112,Box Score,OT,"20,806",
97,10:00p,Memphis Grizzlies,125,Sacramento Kings,129,Box Score,,"17,078",
98,10:30p,Houston Rockets,135,Golden State Warriors,105,Box Score,,"18,064",
99,7:00p,Dallas Mavericks,122,Orlando Magic,106,Box Score,,"18,846",
100,7:00p,Cleveland Cavaliers,113,Washington Wizards,108,Box Score,,"18,895",
101,7:30p,Indiana Pacers,106,New York Knicks,98,Box Score,,"19,812",
